# This file contains all populations of all generations.
RS#	Cum.Gen	Index	Objective1	Objective2	Rank	CrowdingDistance	FieldID_1	FieldID_2	FieldID_3	FieldID_4	FieldID_5	FieldID_6	FieldID_7	FieldID_8	FieldID_9	FieldID_10	FieldID_11	FieldID_12	FieldID_13	FieldID_14	FieldID_15	FieldID_16	FieldID_17	FieldID_18	FieldID_19	FieldID_20	FieldID_21	FieldID_22	FieldID_23	FieldID_24	FieldID_25	FieldID_26	FieldID_27	FieldID_28	FieldID_29	FieldID_30	FieldID_31	FieldID_32	FieldID_33	FieldID_34	FieldID_35	FieldID_36	FieldID_37	FieldID_38	FieldID_39	FieldID_40	FieldID_41	FieldID_42	FieldID_43	FieldID_44	FieldID_45	FieldID_46	FieldID_47	FieldID_48	FieldID_49	FieldID_50	FieldID_51	FieldID_52	FieldID_53	FieldID_54	FieldID_55	FieldID_56	FieldID_57	FieldID_58	FieldID_59	FieldID_60	FieldID_61
0	1	18	3.072932e+00	1.106630e+07	2	6.154140e-01	2	3	0	0	0	0	3	0	0	3	0	0	0	1	2	3	0	1	0	1	0	0	3	0	0	0	1	0	0	3	0	0	0	0	0	1	3	0	0	2	2	0	0	0	2	0	0	0	2	1	0	2	0	0	2	0	3	0	0	2	2	
0	1	19	-7.959795e+00	1.375461e+07	3	1.000000e+14	2	2	0	0	1	2	3	0	0	3	2	0	0	0	0	2	0	2	0	3	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	3	1	0	0	3	1	0	2	0	1	0	1	0	2	3	3	2	0	0	0	0	3	0	0	1	2	
0	1	20	7.158058e+01	8.243532e+06	6	1.000000e+14	2	2	0	0	3	0	1	0	0	3	2	0	0	1	3	2	0	2	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	3	2	2	0	0	1	0	2	0	0	0	0	0	1	2	0	2	0	0	2	0	0	0	0	2	2	
0	1	21	1.582657e+02	5.779998e+06	5	1.000000e+14	1	2	1	0	0	0	1	0	0	1	3	0	0	1	3	1	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	1	0	0	0	1	3	0	0	2	1	0	2	0	1	0	0	0	2	2	3	1	0	0	3	0	0	0	0	0	2	
0	1	22	3.344709e+01	5.585193e+06	2	3.016383e-01	1	3	1	0	1	1	0	0	0	2	3	0	0	2	2	1	0	0	0	0	0	0	0	0	2	0	2	0	0	3	0	1	0	0	0	2	0	1	0	2	0	0	2	0	2	0	2	0	2	1	3	2	0	0	3	0	0	0	0	2	1	
0	1	23	1.236893e+02	5.906844e+06	5	1.663840e-01	1	1	1	0	0	2	1	0	0	0	0	0	0	1	3	3	0	0	0	1	0	0	3	0	1	0	2	0	0	1	0	1	0	0	0	2	3	0	0	0	0	0	0	0	0	0	3	0	1	1	0	1	0	0	1	0	2	0	0	2	0	
0	1	24	1.096509e+02	1.150484e+07	8	1.000000e+14	3	1	1	0	1	1	1	0	0	1	1	0	0	2	3	1	0	1	0	3	0	0	1	0	3	0	3	0	0	1	0	3	0	0	0	2	3	0	0	3	1	0	0	0	2	0	3	0	2	2	0	1	0	0	2	0	1	0	0	1	1	
0	1	25	1.151857e+02	6.097923e+06	5	2.380695e-01	3	3	3	0	1	2	1	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	2	0	0	2	0	1	0	0	0	2	1	1	0	0	0	0	0	0	1	0	1	0	0	3	3	1	0	0	0	0	3	0	0	3	0	
0	1	26	1.292920e+01	6.902172e+06	2	4.715347e-01	2	2	0	0	0	1	0	0	0	1	1	0	0	0	2	0	0	3	0	2	0	0	2	0	2	0	1	0	0	2	0	2	0	0	0	3	1	2	0	0	2	0	3	0	0	0	0	0	0	0	3	2	0	0	3	0	0	0	0	2	2	
0	1	27	4.940692e+01	7.638867e+06	5	2.082886e-01	1	0	3	0	2	0	0	0	0	3	1	0	0	0	2	1	0	1	0	2	0	0	3	0	2	0	1	0	0	3	0	2	0	0	0	3	2	1	0	1	1	0	1	0	0	0	0	0	1	2	0	1	0	0	1	0	1	0	0	2	0	
0	1	28	3.817996e+01	5.151762e+06	3	8.922328e-01	0	3	2	0	3	2	2	0	0	1	0	0	0	0	1	2	0	1	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	2	0	1	0	3	0	1	0	0	2	1	0	0	0	0	0	0	0	0	1	2	
0	1	29	1.139586e+02	5.138559e+06	3	1.000000e+14	0	3	0	0	2	1	1	0	0	1	1	0	0	2	0	1	0	3	0	3	0	0	1	0	0	0	0	0	0	1	0	3	0	0	0	0	0	2	0	1	0	0	3	0	2	0	2	0	2	3	3	0	0	0	1	0	3	0	0	2	3	
0	1	30	-2.055327e+01	1.647297e+07	1	1.000000e+14	3	1	3	0	3	3	3	0	0	3	0	0	0	2	0	3	0	3	0	3	0	0	2	0	3	0	1	0	0	1	0	1	0	0	0	2	2	1	0	3	1	0	3	0	2	0	0	0	1	1	2	0	0	0	1	0	2	0	0	0	0	
0	1	31	6.583358e+01	6.626610e+06	5	3.067496e-01	1	1	1	0	0	1	2	0	0	2	3	0	0	2	1	2	0	0	0	3	0	0	1	0	2	0	2	0	0	0	0	1	0	0	0	1	1	0	0	1	1	0	2	0	2	0	2	0	2	3	0	1	0	0	0	0	3	0	0	1	1	
0	1	32	1.515309e+01	1.579460e+07	5	1.000000e+14	0	1	2	0	3	3	3	0	0	1	2	0	0	0	1	1	0	3	0	3	0	0	2	0	3	0	2	0	0	2	0	3	0	0	0	3	2	0	0	1	2	0	2	0	1	0	1	0	2	0	2	2	0	0	0	0	3	0	0	2	3	
0	2	1	-2.055327e+01	1.647297e+07	1	1.868584e-01	3	1	3	0	3	3	3	0	0	3	3	0	0	1	0	3	0	3	0	3	0	0	2	0	3	0	1	0	0	1	0	1	0	0	0	2	2	1	0	3	1	0	3	0	2	0	0	0	1	1	2	0	0	0	1	0	2	0	0	0	0	
0	2	2	-1.190397e+01	1.144036e+07	1	1.133454e-01	2	2	0	0	1	2	1	0	0	1	1	0	0	2	0	1	0	3	0	3	0	0	1	0	0	0	0	0	0	1	0	3	0	0	0	0	0	2	0	1	0	0	3	0	2	0	2	0	2	3	3	0	0	0	0	0	3	0	0	2	3	
0	2	3	2.738378e+01	4.489911e+06	1	1.969120e-01	2	2	3	0	0	3	0	0	0	3	1	0	0	2	1	2	0	2	0	2	0	0	2	0	3	0	0	0	0	2	0	3	0	0	0	3	0	2	0	2	2	0	0	0	3	0	1	0	1	1	3	1	0	0	0	0	3	0	0	3	3	
0	2	4	-2.055327e+01	1.647297e+07	1	0.000000e+00	3	1	0	0	3	3	3	0	0	3	0	0	0	2	0	3	0	3	0	3	0	0	2	0	3	0	1	0	0	1	0	1	0	0	0	2	2	1	0	3	1	0	3	0	2	0	0	0	1	1	2	0	0	0	1	0	2	0	0	0	0	
0	2	5	-2.178105e-01	1.102135e+07	1	1.393742e-01	3	3	2	0	1	3	2	0	0	0	2	0	0	0	2	3	0	3	0	1	0	0	3	0	3	0	3	0	0	0	0	1	0	0	0	2	0	0	0	1	2	0	3	0	0	0	0	0	2	1	3	1	0	0	3	0	0	0	0	3	1	
0	2	6	2.738378e+01	4.489911e+06	1	1.000000e+14	2	2	3	0	0	3	0	0	0	3	1	0	0	2	1	2	0	2	0	2	0	0	2	0	3	0	2	0	0	2	0	3	0	0	0	3	2	0	0	1	2	0	2	0	1	0	1	0	2	0	2	2	0	0	0	0	3	0	0	3	3	
0	2	7	-2.055327e+01	1.647297e+07	1	1.000000e+14	3	1	3	0	3	3	3	0	0	3	0	0	0	2	0	3	0	3	0	3	0	0	2	0	3	0	1	0	0	1	0	1	0	0	0	2	2	1	0	3	1	0	3	0	2	0	0	0	1	1	2	0	0	0	1	0	2	0	0	0	0	
0	2	8	8.505015e+00	6.064470e+06	1	5.604220e-01	3	1	0	0	2	1	0	0	0	3	1	0	0	3	2	3	0	1	0	0	0	0	1	0	0	0	3	0	0	0	0	1	0	0	0	0	2	1	0	2	1	0	0	0	3	0	1	0	2	2	2	1	0	0	0	0	2	0	0	3	0	
0	2	9	-2.178105e-01	1.102135e+07	1	2.978106e-01	3	3	2	0	1	3	2	0	0	0	2	0	0	0	2	3	0	3	0	1	0	0	3	0	3	0	3	0	0	0	0	1	0	0	0	2	0	0	0	1	2	0	3	0	0	0	2	0	0	3	3	1	0	0	3	0	0	0	0	3	1	
0	2	10	2.738378e+01	4.489911e+06	1	6.569938e-02	2	2	3	0	0	3	0	0	0	3	1	0	0	2	1	2	0	2	0	2	0	0	2	0	1	0	3	0	0	3	0	0	0	0	0	0	2	0	0	0	1	0	0	0	2	0	1	0	2	0	3	0	0	0	0	0	3	0	0	3	3	
0	2	11	-1.386288e+01	1.366713e+07	1	3.002037e-01	2	3	1	0	0	3	3	0	0	3	1	0	0	2	1	0	0	0	0	3	0	0	1	0	2	0	0	0	0	0	0	2	0	0	0	3	3	1	0	3	1	0	1	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	
0	2	12	-1.190397e+01	1.144036e+07	1	1.393742e-01	2	2	0	0	1	2	3	0	0	0	0	0	0	2	0	3	0	2	0	1	0	0	0	0	2	0	2	0	0	3	0	1	0	0	0	0	1	0	0	1	0	0	1	0	3	0	3	0	2	1	3	2	0	0	0	0	3	0	0	2	3	
0	2	13	3.504252e+01	4.880007e+06	2	0.000000e+00	1	0	3	0	3	1	0	0	0	0	0	0	0	3	1	0	0	3	0	0	0	0	0	0	1	0	2	0	0	3	0	0	0	0	0	2	1	2	0	2	2	0	3	0	1	0	2	0	2	2	1	0	0	0	0	0	3	0	0	2	3	
0	2	14	1.292920e+01	6.902172e+06	2	3.316728e-02	2	2	0	0	0	1	3	0	0	3	2	0	0	0	0	2	0	2	0	3	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	3	1	0	0	3	1	0	2	0	1	0	1	0	2	3	3	2	0	0	3	0	0	0	0	2	2	
0	2	15	1.292920e+01	6.902172e+06	2	1.114257e-01	2	2	0	0	0	1	0	0	0	1	1	0	0	0	2	0	0	3	0	2	0	0	2	0	2	0	1	0	0	2	0	2	0	0	0	3	1	2	0	0	2	0	3	0	0	0	0	0	2	0	3	2	0	0	3	0	0	0	0	2	2	
0	2	16	3.072932e+00	1.106630e+07	2	3.885870e-01	2	3	0	0	0	0	3	0	0	3	0	0	0	1	2	3	0	1	0	1	0	0	3	0	0	0	1	0	0	3	0	0	0	0	0	1	3	0	0	2	2	0	0	0	2	0	2	0	0	3	0	2	0	0	2	0	3	0	0	2	2	
0	2	17	-9.185500e+00	1.239211e+07	2	1.000000e+14	0	2	0	0	0	2	3	0	0	3	2	0	0	3	1	0	0	0	0	1	0	0	0	0	3	0	2	0	0	0	0	1	0	0	0	0	2	0	0	3	2	0	3	0	3	0	2	0	0	2	1	1	0	0	1	0	3	0	0	1	1	
